run_id,template_id,template_h5ad,count_fraction,gene_panel,window_size,seed_panel,seed_counts,run_h5ad,status
T01_C1_G1000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,1000,4,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G1000.h5ad,inferred
T01_C1_G10000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,10000,40,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G10000.h5ad,inferred
T01_C1_G15000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,15000,60,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G15000.h5ad,inferred
T01_C1_G20000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,20000,80,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G20000.h5ad,inferred
T01_C1_G500,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,500,2,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G500.h5ad,inferred
T01_C1_G5000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,5000,20,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_G5000.h5ad,inferred
T01_C1_Gall,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1,all,100,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C1_Gall.h5ad,inferred
T01_C2_G1000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,1000,4,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G1000.h5ad,inferred
T01_C2_G10000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,10000,40,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G10000.h5ad,inferred
T01_C2_G15000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,15000,60,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G15000.h5ad,inferred
T01_C2_G20000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,20000,80,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G20000.h5ad,inferred
T01_C2_G500,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,500,2,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G500.h5ad,inferred
T01_C2_G5000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,5000,20,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_G5000.h5ad,inferred
T01_C2_Gall,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,2,all,100,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C2_Gall.h5ad,inferred
T01_C3_G1000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,3,1000,4,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C3_G1000.h5ad,inferred
T01_C3_G10000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,3,10000,40,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C3_G10000.h5ad,inferred
T01_C3_G15000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,3,15000,60,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C3_G15000.h5ad,inferred
T01_C3_G20000,T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,3,20000,80,101,202,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/runs/T01_C3_G20000.h5ad,inferred
