template_id,output_h5ad,n_obs,n_vars,n_cnv_events,mean_countsxcell,has_layer_counts,has_layer_CNV_simulated,has_layer_CNV_GT,p_N,p_A,p_B,p_C
T01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T01_fullgenes_simulated.h5ad,1268,25691,9,36649.7265625,True,True,True,0.3587657891769938,0.0123288683629429,0.0950032017804053,0.5339021406796579
T02,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T02_fullgenes_simulated.h5ad,1268,25691,8,36649.7265625,True,True,True,0.1321868187394575,0.3077341619719139,0.3786554441272154,0.1814235751614132
T03,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T03_fullgenes_simulated.h5ad,1268,25691,12,36649.7265625,True,True,True,0.0796355415083222,0.3231592546627351,0.3558687592272243,0.2413364446017183
T04,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T04_fullgenes_simulated.h5ad,1268,25691,11,36649.7265625,True,True,True,0.0612545209867145,0.717914715567116,0.0558583878455238,0.1649723756006457
T05,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T05_fullgenes_simulated.h5ad,1268,25691,15,36649.7265625,True,True,True,0.0185572049683967,0.4021081696905105,0.080728655847485,0.4986059694936077
T06,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T06_fullgenes_simulated.h5ad,1268,25691,15,36649.7265625,True,True,True,0.1955340875517011,0.6834373273929154,0.0683931981626614,0.0526353868927219
T07,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T07_fullgenes_simulated.h5ad,1268,25691,14,36649.7265625,True,True,True,0.0469726585494133,0.5637264466339887,0.2934254270410735,0.0958754677755244
T08,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T08_fullgenes_simulated.h5ad,1268,25691,12,36649.7265625,True,True,True,0.1414232869508059,0.2548739370109125,0.1696096212069924,0.4340931548312892
T09,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T09_fullgenes_simulated.h5ad,1268,25691,14,36649.7265625,True,True,True,0.0942358984378013,0.226527457651706,0.1421635330256665,0.5370731108848261
T10,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/intermediate/template_adatas/T10_fullgenes_simulated.h5ad,1268,25691,17,36649.7265625,True,True,True,0.022547771758434,0.2799460902159132,0.3241158642713221,0.3733902737543306
