template_id,template_name,source_cnv_csv,source_subclone_json,seed,min_size_bp,max_size_bp,n_A_unique,n_B_unique,n_C_unique,n_total_cnv_genes,n_trunk,trunk_genes,p_N,p_A,p_B,p_C
T01,template_t01,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T01.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T01.json,1001,10000000,20000000,0,3,3,9,3,CDKN2A;MET;MYC,0.3587657891769938,0.01232886836294298,0.09500320178040539,0.5339021406796579
T02,template_t02,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T02.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T02.json,1002,5000000,10000000,1,2,2,8,3,ERBB2;FGFR1;MECOM,0.13218681873945753,0.3077341619719139,0.3786554441272154,0.1814235751614132
T03,template_t03,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T03.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T03.json,1003,2000000,8000000,1,4,4,12,3,EGFR;KEAP1;MYC,0.07963554150832229,0.3231592546627351,0.35586875922722433,0.24133644460171838
T04,template_t04,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T04.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T04.json,1004,1000000,5000000,2,3,3,11,3,EGFR;NF1;RB1,0.06125452098671458,0.717914715567116,0.055858387845523855,0.1649723756006457
T05,template_t05,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T05.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T05.json,1005,8000000,15000000,2,5,5,15,3,CDK4;DIS3;ERBB2,0.018557204968396745,0.40210816969051055,0.08072865584748502,0.4986059694936077
T06,template_t06,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T06.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T06.json,1006,3000000,12000000,2,4,6,15,3,EGFR;MECOM;MYC,0.19553408755170118,0.6834373273929154,0.06839319816266141,0.052635386892721944
T07,template_t07,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T07.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T07.json,1007,800000,3000000,3,4,4,14,3,CCND1;CDKN2A;FGFR1,0.04697265854941333,0.5637264466339887,0.29342542704107355,0.09587546777552447
T08,template_t08,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T08.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T08.json,1008,15000000,35000000,1,3,5,12,3,DIS3;EGFR;FGFR1,0.1414232869508059,0.2548739370109125,0.1696096212069924,0.4340931548312892
T09,template_t09,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T09.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T09.json,1009,4000000,16000000,3,5,3,14,3,CDKN2A;EGFR;MDM2,0.09423589843780134,0.22652745765170604,0.14216353302566653,0.5370731108848261
T10,template_t10,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/data/templates/CNVs_T10.csv,/home/augusta/storage3/augusta/insituCNV/InSituCNV/Evaluate_technical_constrains/manifests/subclone_T10.json,1010,6000000,22000000,2,6,6,17,3,MDM2;MET;TP53,0.022547771758434025,0.2799460902159132,0.3241158642713221,0.37339027375433065
