run_id,template_id,count_fraction,gene_panel,stage,status,start_time,end_time,duration_sec,message
T01_C1_G1000,T01,1,1000,prepare_run,success,2026-02-16 11:12:41.218436,2026-02-16 11:12:41.218436,0.0,saved T01_C1_G1000.h5ad in 9.05s
T01_C1_G10000,T01,1,10000,prepare_run,success,2026-02-16 11:12:50.871445,2026-02-16 11:12:50.871445,0.0,saved T01_C1_G10000.h5ad in 9.62s
T01_C1_G15000,T01,1,15000,prepare_run,success,2026-02-16 11:13:02.552676,2026-02-16 11:13:02.552676,0.0,saved T01_C1_G15000.h5ad in 11.65s
T01_C1_G20000,T01,1,20000,prepare_run,success,2026-02-16 11:13:16.152356,2026-02-16 11:13:16.152356,0.0,saved T01_C1_G20000.h5ad in 13.57s
T01_C1_G500,T01,1,500,prepare_run,success,2026-02-16 11:13:23.243208,2026-02-16 11:13:23.243208,0.0,saved T01_C1_G500.h5ad in 7.06s
T01_C1_G5000,T01,1,5000,prepare_run,success,2026-02-16 11:13:31.379758,2026-02-16 11:13:31.379758,0.0,saved T01_C1_G5000.h5ad in 8.12s
T01_C1_Gall,T01,1,all,prepare_run,success,2026-02-16 11:13:46.252145,2026-02-16 11:13:46.252145,0.0,saved T01_C1_Gall.h5ad in 14.84s
T01_C2_G1000,T01,2,1000,prepare_run,success,2026-02-16 11:13:53.467164,2026-02-16 11:13:53.467164,0.0,saved T01_C2_G1000.h5ad in 7.15s
T01_C2_G10000,T01,2,10000,prepare_run,success,2026-02-16 11:14:03.331382,2026-02-16 11:14:03.331382,0.0,saved T01_C2_G10000.h5ad in 9.84s
T01_C2_G15000,T01,2,15000,prepare_run,success,2026-02-16 11:14:15.288286,2026-02-16 11:14:15.288286,0.0,saved T01_C2_G15000.h5ad in 11.94s
T01_C2_G20000,T01,2,20000,prepare_run,success,2026-02-16 11:14:28.445205,2026-02-16 11:14:28.445205,0.0,saved T01_C2_G20000.h5ad in 13.13s
T01_C2_G500,T01,2,500,prepare_run,success,2026-02-16 11:14:35.433747,2026-02-16 11:14:35.433747,0.0,saved T01_C2_G500.h5ad in 6.96s
T01_C2_G5000,T01,2,5000,prepare_run,success,2026-02-16 11:14:43.732160,2026-02-16 11:14:43.732160,0.0,saved T01_C2_G5000.h5ad in 8.23s
T01_C2_Gall,T01,2,all,prepare_run,success,2026-02-16 11:14:58.728986,2026-02-16 11:14:58.728986,0.0,saved T01_C2_Gall.h5ad in 14.98s
T01_C3_G1000,T01,3,1000,prepare_run,success,2026-02-16 11:15:06.068758,2026-02-16 11:15:06.068758,0.0,saved T01_C3_G1000.h5ad in 7.3s
T01_C3_G10000,T01,3,10000,prepare_run,success,2026-02-16 11:15:16.278881,2026-02-16 11:15:16.278881,0.0,saved T01_C3_G10000.h5ad in 10.17s
T01_C3_G15000,T01,3,15000,prepare_run,success,2026-02-16 11:15:28.119559,2026-02-16 11:15:28.119559,0.0,saved T01_C3_G15000.h5ad in 11.8s
