run_id,template_id,count_fraction,gene_panel,n_genes,mean_countsxcell,nmi,ari,F1_all,F1_gain,F1_loss,AUC_gains,PR_gains,AUC_loss,PR_loss
T01_C1_G1000,T01,1,1000,1000,28.03233528137207,0.0101548909591532,0.0103521612693761,0.0762747292191118,0.1594488418468126,0.0,0.5274170672608106,0.0060671398676621,0.5105513759340631,0.0102011661268758
T01_C1_G10000,T01,1,10000,10000,138.86593627929688,0.1801220713901863,0.1745279801308374,0.247986290586114,0.5437049555232514,0.0,0.667094695143779,0.0469678114457516,0.5350733959602738,0.0128309586465431
T01_C1_G15000,T01,1,15000,15000,210.013412475586,0.2775686090156415,0.3250564830400298,0.3246966304036943,0.6638048278764462,0.0088863458463195,0.7394970066117037,0.1118610700758187,0.5353877493870052,0.0127278850324933
T01_C1_G20000,T01,1,20000,20000,287.1261901855469,0.300778631691425,0.3173749605294568,0.3261752214970748,0.669319269853598,0.012544812251537,0.7450606179758744,0.1330930777771203,0.5342317379217296,0.0127685413145147
T01_C1_G500,T01,1,500,500,8.569400787353516,0.0015103252659273,-0.0026256245103409,0.0338406076922813,0.0455162429729146,0.0,0.500256977487724,0.007600714285023,0.5052903072066073,0.010524658025112
T01_C1_G5000,T01,1,5000,5000,83.8832778930664,0.0098319048549713,0.0007090637944418,0.1467417293165529,0.337370502400294,0.0,0.5691394346729514,0.0093185939361561,0.5324713826477011,0.0136935790142478
T01_C1_Gall,T01,1,all,25691,372.7918090820313,0.5143708593506671,0.5291852572737361,0.3776041888972036,0.7620707399189481,0.0190488448953299,0.8094210834676085,0.2631176534610568,0.532947273777934,0.0127819905295777
T01_C2_G1000,T01,2,1000,1000,55.9416389465332,0.00634115338314,0.002381511467017,0.1070173975649486,0.2443697063951651,0.0,0.550944907764108,0.0073778822607447,0.5169715000740509,0.0103711385203086
T01_C2_G10000,T01,2,10000,10000,277.130126953125,0.2799659224185362,0.2838717074126943,0.2971177194375645,0.6377819475053896,0.0074116851831225,0.7250946981827514,0.1180423558020841,0.5319477917053931,0.0127044338354403
T01_C2_G15000,T01,2,15000,15000,419.7633972167969,0.5014456500656183,0.6141855515971588,0.3748722152478609,0.747277220021726,0.0215072621740395,0.7990228378442357,0.2591602361530449,0.5327604611639334,0.0130053665016334
T01_C2_G20000,T01,2,20000,20000,573.8572387695312,0.5842501412969219,0.6439565668764851,0.3845857736651401,0.759098469542928,0.0268956064237625,0.8078669062507847,0.2838291104958607,0.5325063627121118,0.0128857336055685
T01_C2_G500,T01,2,500,500,17.056781768798828,0.0032757459782745,0.0011244494624518,0.0553784850081784,0.0707445817477281,0.0,0.5040955274356631,0.0076883283126136,0.503593637431897,0.0105641721859704
T01_C2_G5000,T01,2,5000,5000,167.2026824951172,0.0105222870322433,0.0018110171455339,0.1688543587490107,0.4065599988575256,0.0,0.6016970891057685,0.013907372674984,0.531845729860644,0.0136961348733025
T01_C2_Gall,T01,2,all,25691,745.5836181640625,0.6927536056822552,0.6838567682172318,0.4444057529575475,0.8367709648025246,0.0677627028375306,0.8679382476730159,0.4599480525741857,0.5411431953357745,0.0149347691398581
T01_C3_G1000,T01,3,1000,1000,84.0733413696289,0.0403902335221056,0.0246859558863228,0.171082705633264,0.2989547710912106,0.0680831215582312,0.5683407333526572,0.0085421894988665,0.5364294000520807,0.0113889710648883
T01_C3_G10000,T01,3,10000,10000,415.9187622070313,0.3853203747790622,0.4658021999436811,0.3391485729054687,0.6884620462190699,0.0464509662554296,0.7598515478090829,0.1777700078203284,0.538962647290112,0.0136220584369188
T01_C3_G15000,T01,3,15000,15000,630.1687622070312,0.6478979320329835,0.7451027605395405,0.4136510958607223,0.802690144670635,0.0347211504026323,0.8412641167398563,0.3730902614610523,0.5336607823585149,0.0130347735170772
T01_C3_G20000,T01,3,20000,20000,860.8714599609375,0.6937714982668374,0.751758531389886,0.4383878617820157,0.8188666815585773,0.0657048376436892,0.8536970915238624,0.408528869762905,0.540089640003344,0.0144206216049991
T01_C3_G500,T01,3,500,500,25.4763412475586,0.003808231008669,0.0015299042030886,0.0647093267974317,0.0978316863019467,0.0,0.5068187635749356,0.0078348066791941,0.5100739897334408,0.0106824508693546
T01_C3_G5000,T01,3,5000,5000,251.0070953369141,0.0950468823727817,0.0773660021708618,0.1874553062445312,0.4509762503860032,0.0024342184059332,0.6245618239801554,0.0194455518041853,0.5302415797217975,0.0136241704366912
T01_C3_Gall,T01,3,all,25691,1118.3753662109375,0.8083099243222404,0.8281613020598003,0.4866964542183034,0.8784911054366795,0.1050645333889485,0.902793252241739,0.5812956187547303,0.5486397896039155,0.0185124088184235
T01_C5_G1000,T01,5,1000,1000,140.05836486816406,0.0721749942596991,0.0712338529084414,0.2460704891600375,0.3411312100315673,0.1665184471711996,0.5828273192840387,0.0105451579425887,0.5668511493054693,0.0162554147335665
T01_C5_G10000,T01,5,10000,10000,694.61279296875,0.5613292209512295,0.6181439977400653,0.367600182809905,0.743064326517412,0.0473149812451754,0.7981975352873034,0.2696160736658939,0.537247768182109,0.0135879180301976
T01_C5_G15000,T01,5,15000,15000,1051.728759765625,0.785139518040575,0.8468812154535812,0.4445454161157919,0.8499413830477971,0.0374262875318717,0.8798225261947566,0.5086952611415438,0.531585246795121,0.0129592090848949
T01_C5_G20000,T01,5,20000,20000,1435.8516845703125,0.8595962470630694,0.9079829920303146,0.4827388928925172,0.8706348817878663,0.0920505783243391,0.8968030612105926,0.5540626807664704,0.5441806828392071,0.0157937770812517
T01_C5_G500,T01,5,500,500,42.57492065429688,0.0103107117136481,0.0070279594298568,0.0699632478596908,0.1290711801343142,0.0,0.5139627643794022,0.0082599501841089,0.5166879710267318,0.0108595227161433
T01_C5_G5000,T01,5,5000,5000,419.191650390625,0.1853216541104297,0.1999354278105306,0.21754781593095,0.5233946559864167,0.0105217096723407,0.663215746637401,0.0384906249834124,0.5314763177372873,0.0136183099778733
T01_C5_Gall,T01,5,all,25691,1863.958984375,0.9636169387763016,0.9833026891156308,0.521654607902989,0.9110960746481324,0.1386153816312814,0.9316438699461524,0.6973105825140247,0.5550703895395168,0.022304143797302
