,bin_index,chromosome,mean_cnv
0,0,chr1,0.00444484215454623
1,1,chr1,0.003625259828316449
2,2,chr1,0.0031107001998892346
3,3,chr1,0.0021030809197979455
4,4,chr1,0.0018250584644998933
5,5,chr1,0.001956125942153602
6,6,chr1,0.001297084555433829
7,7,chr1,0.0014323920220486732
8,8,chr1,0.0022377102285425065
9,9,chr1,0.0037474693895367
10,10,chr1,0.006274035773285712
11,11,chr1,0.00767177475048331
12,12,chr1,0.006564385274111648
13,13,chr1,0.005266431515800797
14,14,chr1,0.00414046216270865
15,15,chr1,0.0023760609629546203
16,16,chr1,0.0024981003214313057
17,17,chr1,0.0023241406709255926
18,18,chr1,0.0016397380991275952
19,19,chr1,0.001016888501321776
20,20,chr1,0.000721145207213432
21,21,chr1,0.0004172718400576886
22,22,chr1,0.00026710742166430177
23,23,chr1,0.00026817034454317885
24,24,chr1,0.0004722667983628212
25,25,chr1,0.0008462912016628678
26,26,chr1,0.001866354889802527
27,27,chr1,0.0023326577429520945
28,28,chr1,0.0018634420044677856
29,29,chr1,0.0009892575328417554
30,30,chr1,0.0005623731924712155
31,31,chr1,0.00031165338133507946
32,32,chr1,0.00023692233448857633
33,33,chr1,0.00021935239129742775
34,34,chr1,0.0003173984318238851
35,35,chr1,0.0004959805909499517
36,36,chr1,0.0006883308823743828
37,37,chr1,0.0010579795334493267
38,38,chr1,0.0016296761219759374
39,39,chr1,0.002599150760948939
40,40,chr1,0.003507396611285085
41,41,chr1,0.0035310234553620635
42,42,chr1,0.0025695986199382086
43,43,chr1,0.0018833539160881883
44,44,chr1,0.0010300704613739418
45,45,chr1,0.0005152128604275671
46,46,chr1,0.000338284464296122
47,47,chr1,0.00033827662840491663
48,48,chr1,0.00038362265932923495
49,49,chr1,0.0005603414283869746
50,50,chr1,0.0008218883801123937
51,51,chr1,0.0009791712847632447
52,52,chr1,0.0009313412048497792
53,53,chr1,0.000513082844313109
54,54,chr1,0.00023820006511180502
55,55,chr1,0.0001301370307977594
56,56,chr1,-2.070587144317398e-05
57,57,chr1,-0.00022095290415207334
58,58,chr1,-0.0004180875807008334
59,59,chr1,-0.0005762527249911733
60,60,chr1,-0.0007755877539122835
61,61,chr1,-0.0005255406347435253
62,62,chr1,-0.00034757330758307674
63,63,chr1,-0.00016762866668886396
64,64,chr1,-0.00012239366970615893
65,65,chr1,-0.000865911902190436
66,66,chr1,-0.00857379489898018
67,67,chr1,-0.018386267249650496
68,68,chr1,-0.02463935708402227
69,69,chr1,-0.028224417326918286
70,70,chr1,-0.02981539064812354
71,71,chr1,-0.02911850252118038
72,72,chr1,-0.027193764641647165
73,73,chr1,-0.02483911539528246
74,74,chr1,-0.021250642218587645
75,75,chr1,-0.0163711561831203
76,76,chr1,-0.01104731408001409
77,77,chr1,-0.005066666788960129
78,78,chr1,-0.0028979268811320665
79,79,chr1,-0.000509501010041749
80,80,chr1,0.00019149224877625313
81,81,chr1,0.0006644501451100901
82,82,chr1,0.0024668780958810865
83,83,chr1,0.010969672611483775
84,84,chr1,0.017684091601757063
85,85,chr1,0.019425513557374353
86,86,chr1,0.011889845859292161
87,87,chr1,0.0051306592657554585
88,88,chr1,0.002038455172068807
89,89,chr1,0.0017940682100549144
90,90,chr1,0.003023148959046281
91,91,chr1,0.0032744728212976974
92,92,chr1,0.002032407980937628
93,93,chr1,0.0008735066340799139
94,94,chr1,0.0003550603755304547
95,95,chr1,-0.0002510065257454531
96,96,chr1,-0.0008662198248855855
97,97,chr1,-0.0015349929190234942
98,98,chr1,-0.0030867341269646123
99,99,chr1,-0.010047689356225511
100,100,chr1,-0.014125548861164435
101,101,chr1,-0.014800109402490526
102,102,chr1,-0.011411986482370249
103,103,chr1,-0.00410093693014532
104,104,chr1,-0.0008874113173162338
105,105,chr1,-0.00032618654106168163
106,106,chr1,-0.00013963523013636988
107,107,chr1,-9.271695734396151e-05
108,108,chr1,-0.000279320975450993
109,109,chr1,-0.0034481144760198576
110,110,chr1,-0.014092072737490476
111,111,chr1,-0.020340235306721636
112,112,chr1,-0.023341424363259564
113,113,chr1,-0.02118947014619267
114,114,chr1,-0.009390155077901195
115,115,chr1,-0.001971521176843768
116,116,chr1,-0.0004910584158347798
117,117,chr1,0.0004384229821582904
